,distance_file,ts_av_elapsed_time,ts_av_cost,ts_best_cost
0,./data/10nodes/dis_29.txt,0.20236491441726684,842.62,648
1,./data/10nodes/dis_1.txt,0.2024890637397766,789.7,603
2,./data/10nodes/dis_12.txt,0.2021392822265625,814.16,573
3,./data/10nodes/dis_4.txt,0.20253934860229492,797.71,588
4,./data/10nodes/dis_25.txt,0.20228907585144043,761.11,599
5,./data/10nodes/dis_28.txt,0.20241942644119262,927.96,636
6,./data/10nodes/dis_8.txt,0.20253037214279174,855.09,627
7,./data/10nodes/dis_13.txt,0.20294121265411377,791.72,620
8,./data/10nodes/dis_22.txt,0.20275432825088502,809.8,591
9,./data/10nodes/dis_0.txt,0.20226550102233887,894.68,707
10,./data/10nodes/dis_6.txt,0.20221508502960206,975.14,744
11,./data/10nodes/dis_11.txt,0.20282366514205932,839.15,597
12,./data/10nodes/dis_18.txt,0.20221267223358155,801.63,642
13,./data/10nodes/dis_2.txt,0.2024201560020447,800.61,660
14,./data/10nodes/dis_20.txt,0.20253097057342528,801.35,628
15,./data/10nodes/dis_21.txt,0.20238857984542846,847.35,647
16,./data/10nodes/dis_16.txt,0.20256287097930908,761.49,521
17,./data/10nodes/dis_24.txt,0.20242704391479494,916.55,697
18,./data/10nodes/dis_23.txt,0.20258285999298095,766.62,534
19,./data/10nodes/dis_3.txt,0.202535936832428,839.7,630
20,./data/10nodes/dis_9.txt,0.20241695404052734,856.31,592
21,./data/10nodes/dis_27.txt,0.20220593690872193,852.26,645
22,./data/10nodes/dis_17.txt,0.20287091732025148,884.41,724
23,./data/10nodes/dis_26.txt,0.2023968243598938,965.68,732
24,./data/10nodes/dis_7.txt,0.20242087841033934,703.31,559
25,./data/10nodes/dis_15.txt,0.20234991788864135,716.58,523
26,./data/10nodes/dis_5.txt,0.20245418071746826,926.64,705
27,./data/10nodes/dis_14.txt,0.20217360258102418,919.26,708
28,./data/10nodes/dis_10.txt,0.20247852087020873,891.8,652
29,./data/10nodes/dis_19.txt,0.2022870373725891,1037.57,777
