,distance_file,ls_av_elapsed_time,ls_av_cost,ls_best_cost,vnd_av_elapsed_time,vnd_av_cost,vnd_best_cost,bvns_av_elapsed_time,bvns_av_cost,bvns_best_cost,ts_av_elapsed_time,ts_av_cost,ts_best_cost
0,./data/50nodes/dis_74.txt,0.02360367774963379,8099.0,8099,0.27130794525146484,3436.0,3436,9.999599695205688,1872.0,1872,10.006617784500122,4171.0,4171
1,./data/50nodes/dis_51.txt,0.009824752807617188,10845.0,10845,0.2397315502166748,2903.0,2903,9.997219562530518,2115.0,2115,10.001041889190674,4001.0,4001
2,./data/50nodes/dis_50.txt,0.0367741584777832,7592.0,7592,0.23432445526123047,3478.0,3478,9.998395681381226,2113.0,2113,10.008298397064209,4345.0,4345
3,./data/50nodes/dis_72.txt,0.008049964904785156,10787.0,10787,0.20234131813049316,3465.0,3465,9.99765396118164,2001.0,2001,10.005099534988403,3965.0,3965
4,./data/50nodes/dis_29.txt,0.03732919692993164,8383.0,8383,0.2279655933380127,3386.0,3386,9.999297618865967,2094.0,2094,9.997685194015503,3655.0,3655
5,./data/50nodes/dis_1.txt,0.005850315093994141,10204.0,10204,0.2719142436981201,3207.0,3207,9.999059915542603,2059.0,2059,10.011246919631958,4302.0,4302
6,./data/50nodes/dis_12.txt,0.010181665420532227,10368.0,10368,0.2432420253753662,3642.0,3642,9.999120712280273,2076.0,2076,10.03031873703003,4364.0,4364
7,./data/50nodes/dis_85.txt,0.02663564682006836,8522.0,8522,0.2754509449005127,2604.0,2604,9.998681545257568,2037.0,2037,10.040741682052612,4164.0,4164
8,./data/50nodes/dis_77.txt,0.008018016815185547,9695.0,9695,0.21031618118286133,3458.0,3458,10.002577781677246,2212.0,2212,10.022338628768921,3988.0,3988
9,./data/50nodes/dis_55.txt,0.021085500717163086,9276.0,9276,0.18888258934020996,3630.0,3630,9.997596502304077,2268.0,2268,10.001051425933838,4168.0,4168
10,./data/50nodes/dis_57.txt,0.024097919464111328,8792.0,8792,0.21941018104553223,3300.0,3300,9.99744462966919,2244.0,2244,10.014905452728271,4056.0,4056
11,./data/50nodes/dis_37.txt,0.010007143020629883,10049.0,10049,0.2594428062438965,3479.0,3479,9.997822999954224,2127.0,2127,10.014222145080566,4101.0,4101
12,./data/50nodes/dis_4.txt,0.005283832550048828,10127.0,10127,0.24331045150756836,3248.0,3248,9.996924638748169,2252.0,2252,10.027376413345337,4089.0,4089
13,./data/50nodes/dis_88.txt,0.030684232711791992,9592.0,9592,0.2767965793609619,3166.0,3166,9.998643398284912,2106.0,2106,10.016514539718628,4190.0,4190
14,./data/50nodes/dis_25.txt,0.010746955871582031,10448.0,10448,0.2712395191192627,3450.0,3450,9.998492240905762,2137.0,2137,10.016347408294678,4251.0,4251
15,./data/50nodes/dis_28.txt,0.029180526733398438,8727.0,8727,0.2627289295196533,3404.0,3404,9.99927544593811,2046.0,2046,10.002595663070679,4248.0,4248
16,./data/50nodes/dis_86.txt,0.0065081119537353516,10407.0,10407,0.28262972831726074,3523.0,3523,9.998894214630127,2147.0,2147,10.031944274902344,4078.0,4078
17,./data/50nodes/dis_75.txt,0.00990152359008789,10083.0,10083,0.20891857147216797,3535.0,3535,9.996916770935059,2117.0,2117,10.036939144134521,3815.0,3815
18,./data/50nodes/dis_90.txt,0.0037610530853271484,11522.0,11522,0.20811772346496582,3286.0,3286,9.998762607574463,2137.0,2137,10.0046706199646,4743.0,4743
19,./data/50nodes/dis_8.txt,0.030711889266967773,8448.0,8448,0.26698803901672363,3273.0,3273,10.000060319900513,2014.0,2014,10.006804704666138,3960.0,3960
20,./data/50nodes/dis_35.txt,0.015053510665893555,10170.0,10170,0.2397475242614746,3060.0,3060,9.997304439544678,2106.0,2106,10.026128053665161,3811.0,3811
